fruit,stem,image_source,mask_source,action,reason,note,source,confirmed_by,confirmed_at,session,split_group,has_instances,has_boxes,rule_pending,overlap_neighbors,instances_source,boxes_source,apple_check_verdict,verdict_source,peach_dup_candidate,mask_audit_reason
grape,0,reviewed_260916,reviewed_260916,keep,,,reviewed,,,0,g0001,0,1,,,none,psm_gt,,none,,
grape,1,reviewed_260916,reviewed_260916,keep,,,reviewed,,,1,g0002,0,1,,,none,psm_gt,,none,,
grape,2,reviewed_260916,reviewed_260916,keep,,,reviewed,,,2,g0003,0,1,,,none,psm_gt,,none,,
grape,3,reviewed_260916,reviewed_260916,keep,,,reviewed,,,3,g0004,0,1,,,none,psm_gt,,none,,
grape,4,reviewed_260916,reviewed_260916,keep,,,reviewed,,,4,g0005,0,1,,,none,psm_gt,,none,,
grape,5,reviewed_260916,reviewed_260916,keep,,,reviewed,,,5,g0006,0,1,,,none,psm_gt,,none,,
grape,6,reviewed_260916,reviewed_260916,keep,,,reviewed,,,6,g0007,0,1,,,none,psm_gt,,none,,
grape,7,reviewed_260916,reviewed_260916,keep,,,reviewed,,,7,g0008,0,1,,,none,psm_gt,,none,,
grape,8,-,-,excluded_duplicate,reviewed_duplicate,근접 중복(대표 1 만 남김),ai,,,8,g0002,0,0,,,none,none,,none,,
grape,9,reviewed_260916,reviewed_260916,keep,,,reviewed,,,9,g0009,0,1,,,none,psm_gt,,none,,
grape,10,reviewed_260916,reviewed_260916,keep,,,reviewed,,,10,g0010,0,1,,,none,psm_gt,,none,,
grape,11,reviewed_260916,reviewed_260916,keep,,,reviewed,,,11,g0011,0,1,,,none,psm_gt,,none,,
grape,12,reviewed_260916,reviewed_260916,keep,,,reviewed,,,12,g0012,0,1,,,none,psm_gt,,none,,
grape,13,reviewed_260916,reviewed_260916,keep,,,reviewed,,,13,g0013,0,1,,,none,psm_gt,,none,,
grape,14,reviewed_260916,reviewed_260916,keep,,,reviewed,,,14,g0014,0,1,,,none,psm_gt,,none,,
grape,15,reviewed_260916,reviewed_260916,keep,,,reviewed,,,15,g0015,0,1,,,none,psm_gt,,none,,
grape,16,reviewed_260916,reviewed_260916,keep,,,reviewed,,,16,g0016,0,1,,,none,psm_gt,,none,,
grape,17,-,-,excluded_duplicate,reviewed_duplicate,근접 중복(대표 1435 만 남김),ai,,,17,g0017,0,0,,,none,none,,none,,
grape,18,reviewed_260916,reviewed_260916,keep,,,reviewed,,,18,g0018,0,1,,,none,psm_gt,,none,,
grape,19,reviewed_260916,reviewed_260916,keep,,,reviewed,,,19,g0019,0,1,,,none,psm_gt,,none,,
grape,20,reviewed_260916,reviewed_260916,keep,,,reviewed,,,20,g0020,0,1,,,none,psm_gt,,none,,
grape,21,reviewed_260916,reviewed_260916,keep,,,reviewed,,,21,g0021,0,1,,,none,psm_gt,,none,,
grape,22,reviewed_260916,reviewed_260916,keep,,dice 0.99 — 라벨된 송이 자체는 정확(규칙 판정). 다만 라벨 안 된 다른 송이가 있을 수 있음,reviewed,,,22,g0022,0,1,,,none,psm_gt,,none,,
grape,23,reviewed_260916,reviewed_260916,keep,,dice 0.98 — 라벨된 송이 자체는 정확(규칙 판정). 다만 라벨 안 된 다른 송이가 있을 수 있음,reviewed,,,23,g0023,0,1,,,none,psm_gt,,none,,
grape,24,reviewed_260916,reviewed_260916,keep,,,reviewed,,,24,g0024,0,1,,,none,psm_gt,,none,,
grape,25,reviewed_260916,reviewed_260916,keep,,,reviewed,,,25,g0025,0,1,,,none,psm_gt,,none,,
grape,26,reviewed_260916,reviewed_260916,keep,,dice 0.97 — 라벨된 송이 자체는 정확(규칙 판정). 다만 라벨 안 된 다른 송이가 있을 수 있음,reviewed,,,26,g0026,0,1,,,none,psm_gt,,none,,
grape,27,reviewed_260916,reviewed_260916,keep,,,reviewed,,,27,g0027,0,1,,,none,psm_gt,,none,,
grape,28,reviewed_260916,reviewed_260916,keep,,dice 0.95 — 라벨된 송이 자체는 정확(규칙 판정). 다만 라벨 안 된 다른 송이가 있을 수 있음,reviewed,,,28,g0028,0,1,,,none,psm_gt,,none,,
grape,29,reviewed_260916,reviewed_260916,keep,,,reviewed,,,29,g0029,0,1,,,none,psm_gt,,none,,
grape,30,-,-,excluded_duplicate,reviewed_duplicate,근접 중복(대표 16 만 남김),ai,,,30,g0016,0,0,,,none,none,,none,,
grape,31,reviewed_260916,reviewed_260916,keep,,,reviewed,,,31,g0030,0,1,,,none,psm_gt,,none,,
grape,32,reviewed_260916,reviewed_260916,keep,,,reviewed,,,32,g0031,0,1,,,none,psm_gt,,none,,
grape,33,reviewed_260916,reviewed_260916,keep,,,reviewed,,,33,g0032,0,1,,,none,psm_gt,,none,,
grape,34,reviewed_260916,reviewed_260916,keep,,,reviewed,,,34,g0033,0,1,,,none,psm_gt,,none,,
grape,35,reviewed_260916,reviewed_260916,keep,,,reviewed,,,35,g0034,0,1,,,none,psm_gt,,none,,
grape,36,reviewed_260916,reviewed_260916,keep,,,reviewed,,,36,g0035,0,1,,,none,psm_gt,,none,,
grape,37,-,-,excluded_duplicate,reviewed_duplicate,근접 중복(대표 1997 만 남김),ai,,,37,g0036,0,0,,,none,none,,none,,
grape,38,reviewed_260916,reviewed_260916,keep,,,reviewed,,,38,g0037,0,1,,,none,psm_gt,,none,,
grape,39,reviewed_260916,reviewed_260916,keep,,,reviewed,,,39,g0038,0,1,,,none,psm_gt,,none,,
grape,40,reviewed_260916,reviewed_260916,keep,,,reviewed,,,40,g0039,0,1,,,none,psm_gt,,none,,
grape,41,reviewed_260916,reviewed_260916,keep,,,reviewed,,,41,g0040,0,1,,,none,psm_gt,,none,,
grape,42,reviewed_260916,reviewed_260916,keep,,,reviewed,,,42,g0041,0,1,,,none,psm_gt,,none,,
grape,43,reviewed_260916,reviewed_260916,keep,,,reviewed,,,43,g0042,0,1,,,none,psm_gt,,none,,
grape,44,reviewed_260916,reviewed_260916,keep,,,reviewed,,,44,g0043,0,1,,,none,psm_gt,,none,,
grape,45,reviewed_260916,reviewed_260916,keep,,,reviewed,,,45,g0044,0,1,,,none,psm_gt,,none,,
