fruit,stem,image_source,mask_source,action,reason,note,source,confirmed_by,confirmed_at,session,split_group,has_instances,has_boxes,rule_pending,overlap_neighbors,instances_source,boxes_source,apple_check_verdict,verdict_source,peach_dup_candidate,mask_audit_reason
peach,210629-t1-01,reviewed_260916,reviewed_260916,mask_fixed,,누락 복숭아 1개 추가(AI 제안 성분 1),ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-02,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,pair_01,
peach,210629-t1-03,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-04,reviewed_260916,reviewed_260916,mask_fixed,,누락 복숭아 1개 추가(AI 제안 성분 2) | 잎 우세/불명 성분 #2(fruit_leafy) 윤곽 조정 필요,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-05,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,pair_02,
peach,210629-t1-06,reviewed_260916,reviewed_260916,mask_fixed,,누락 복숭아 1개 추가(AI 제안 성분 1),ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,pair_02,
peach,210629-t1-07,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-08,reviewed_260916,reviewed_260916,mask_fixed,,누락 복숭아 2개 추가(AI 제안 성분 2 5),ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-09,reviewed_260916,reviewed_260916,keep,,땅에 떨어진 복숭아 다수 — 라벨 규칙상 제외,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-10,reviewed_260916,reviewed_260916,keep,,땅에 떨어진 복숭아 — 라벨 규칙상 제외,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-11,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-12,reviewed_260916,reviewed_260916,needs_human,,"2차가 누락 지적했으나 AI 후보가 없거나 불명확 → 사람이 툴에서 확인: 오른쪽 아래 1개(2차만, 확신 중간)",ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,pair_01,
peach,210629-t1-13,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-14,reviewed_260916,reviewed_260916,needs_human,,2차가 누락 지적했으나 AI 후보가 없거나 불명확 → 사람이 툴에서 확인: 아래쪽 가장자리 1개,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-15,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-16,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-17,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-18,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,,
peach,210629-t1-19,reviewed_260916,reviewed_260916,needs_human,,2차가 누락 지적했으나 AI 후보가 없거나 불명확 → 사람이 툴에서 확인: 아래쪽 1개,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,pair_03,
peach,210629-t1-20,reviewed_260916,reviewed_260916,mask_fixed,,누락 복숭아 2개 추가(AI 제안 성분 1 2) | 잎 우세/불명 성분 #2(fruit_leafy) 윤곽 조정 필요,ai,,,210629-t1,p0001,0,1,,,none,psm_gt,,none,pair_03,
peach,210629-t2-01,reviewed_260916,reviewed_260916,keep,,1차가 «뒷줄 2~4개 누락» 이라 했으나 라벨 규칙상 뒷줄은 제외 대상,ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-02,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-03,reviewed_260916,reviewed_260916,mask_fixed,,누락 복숭아 1개 추가(AI 제안 성분 1),ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-04,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-05,reviewed_260916,reviewed_260916,keep,,위와 같음(뒷줄),ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-06,reviewed_260916,reviewed_260916,keep,,위와 같음(뒷줄),ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-07,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-08,reviewed_260916,reviewed_260916,needs_human,,2차가 누락 지적했으나 AI 후보가 없거나 불명확 → 사람이 툴에서 확인: 가운데 2개(2차만),ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-09,reviewed_260916,reviewed_260916,mask_fixed,,누락 복숭아 1개 추가(AI 제안 성분 1),ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-10,reviewed_260916,reviewed_260916,keep,,땅에 떨어진 복숭아 — 라벨 규칙상 제외,ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
peach,210629-t2-11,reviewed_260916,reviewed_260916,keep,,,ai,,,210629-t2,p0002,0,1,,,none,psm_gt,,none,,
