fruit,stem,image_source,mask_source,action,reason,note,source,confirmed_by,confirmed_at,session,split_group,has_instances,has_boxes,rule_pending,overlap_neighbors,instances_source,boxes_source,apple_check_verdict,verdict_source,peach_dup_candidate,mask_audit_reason
blueberry,Camera 1 Video (1)_1,reviewed_260917,reviewed_260917,keep,,,ai,,,Camera 1 Video (1),bs0001,1,1,,,detect_seed,lsh,,none,,
blueberry,Camera 1 Video (2)_1,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (2),bs0161,1,1,,,detect_seed,lsh,,none,,
blueberry,Camera 1 Video (8)_1,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (8),bs0267,1,1,,,detect_seed,lsh,,none,,
blueberry,Camera 1 Video (9)_1,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (9),bs0316,1,1,,,detect_seed,lsh,,none,,
blueberry,Camera 1 Video (9)_61,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (9),bs0317,1,1,,,detect_seed,lsh,,none,,
blueberry,Camera 1 Video (10)_61,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (10),bs0002,1,1,,,detect_seed,lsh,,none,,bottom_5pct_ratio
blueberry,Camera 1 Video (14)_1,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (14),bs0094,1,1,,,detect_seed,lsh,,none,,
blueberry,Camera 1 Video (25)_1,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (25),bs0162,1,1,,,detect_seed,lsh,,none,,
blueberry,Camera 1 Video (29)_1,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (29),bs0163,1,1,,,detect_seed,lsh,,none,,
blueberry,Camera 1 Video (37)_1,reviewed_260917,reviewed_260917,keep,,,reviewed,,,Camera 1 Video (37),b002,1,1,"같은 포기가 겹쳐 보이는 쌍(Camera 1 Video (37)_1 ↔ Camera 1 Video (37)_61) — «거의 같은 사진» 은 아님, 뺄지는 교수님 결정",Camera 1 Video (37)_61,detect_seed,lsh,,none,,
