fruit,stem,image_source,mask_source,action,reason,note,source,confirmed_by,confirmed_at,session,split_group,has_instances,has_boxes,rule_pending,overlap_neighbors,instances_source,boxes_source,apple_check_verdict,verdict_source,peach_dup_candidate,mask_audit_reason
apple,20150919_174151_image1,reviewed_260917,reviewed_260917,keep,,,ai,,,20150919_174151,a001,1,1,,,reviewed_number_mask,psm_gt,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image6,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image1 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image11,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image1 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image16,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image1 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image21,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image16 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image26,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image1 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image31,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a001,1,1,,,reviewed_number_mask,psm_gt,,none,,
apple,20150919_174151_image36,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image31 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image41,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image31 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image46,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image41 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image51,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image41 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image56,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a001,1,1,,,reviewed_number_mask,psm_gt,,none,,
apple,20150919_174151_image61,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image56 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image66,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image56 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image71,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image66 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image76,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image56 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image81,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image76 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image86,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a001,1,1,,,reviewed_number_mask,psm_gt,,none,,
apple,20150919_174151_image91,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image76 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=4,psm_review_list,,
apple,20150919_174151_image96,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image86 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image101,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image96 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image106,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image86 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image111,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image106 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image116,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a001,1,1,,,reviewed_number_mask,psm_gt,,none,,
apple,20150919_174151_image121,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image116 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image126,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image116 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image131,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image126 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image136,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image116 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image141,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image136 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image146,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image136 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image151,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image136 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image156,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image136 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image161,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a001,1,1,,,reviewed_number_mask,psm_gt,unclear=1,psm_review_list,,
apple,20150919_174151_image166,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image161 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image171,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image161 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image176,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image171 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image181,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image201 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image186,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image181 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image191,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image201 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image196,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image191 만 남김),ai,,,20150919_174151,a001,0,0,[flag 에서 내림] 고칠 수 없는 규칙 문제(낙과·뒷줄 / 같은 열매의 경계 / 마른 꽃부리)만 있음,,none,none,ok_one_apple=3,psm_review_list,,
apple,20150919_174151_image201,reviewed_260917,reviewed_260917,needs_human,,"라벨 안 된 열매 후보 1곳(x1,y1,x2,y2: 937,1430,984,1472) — 사과 전체를 다시 그리고 번호(N)를 붙일 것",ai,,,20150919_174151,a001,1,1,,,reviewed_number_mask,psm_gt,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image206,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image201 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image211,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image201 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=3 · 확정오류 1,psm_review_list+confirmed_errors,,
apple,20150919_174151_image216,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image211 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image221,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image201 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image226,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image221 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image231,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image201 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,,none,,
apple,20150919_174151_image236,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image231 만 남김),ai,,,20150919_174151,a001,0,0,,,none,none,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image241,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a001,1,1,,,reviewed_number_mask,psm_gt,ok_one_apple=3,psm_review_list,,
apple,20150919_174151_image286,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a002,1,1,,,reviewed_number_mask,psm_gt,,none,,
apple,20150919_174151_image301,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image286 만 남김),ai,,,20150919_174151,a002,0,0,,,none,none,ok_one_apple=2 unclear=1,psm_review_list,,
apple,20150919_174151_image361,reviewed_260917,reviewed_260917,keep,,,ai,,,20150919_174151,a003,1,1,,,reviewed_number_mask,psm_gt,one_apple_two_ids=1 · 확정오류 1,psm_review_list+confirmed_errors,,
apple,20150919_174151_image381,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image361 만 남김),ai,,,20150919_174151,a003,0,0,,,none,none,,none,,
apple,20150919_174151_image411,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a003,1,1,,20150919_174151_image431,reviewed_number_mask,psm_gt,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image431,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a003,1,1,,20150919_174151_image411,reviewed_number_mask,psm_gt,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image471,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,as0001,1,1,,,reviewed_number_mask,psm_gt,,none,,
apple,20150919_174151_image496,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,as0002,1,1,,,reviewed_number_mask,psm_gt,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image601,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a004,1,1,,20150919_174151_image621,reviewed_number_mask,psm_gt,unclear=1,psm_review_list,,
apple,20150919_174151_image621,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a004,1,1,,20150919_174151_image601|20150919_174151_image641,reviewed_number_mask,psm_gt,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image641,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a004,1,1,,20150919_174151_image621,reviewed_number_mask,psm_gt,,none,,
apple,20150919_174151_image656,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image641 만 남김),ai,,,20150919_174151,a004,0,0,,,none,none,,none,,
apple,20150919_174151_image676,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a004,1,1,,,reviewed_number_mask,psm_gt,ok_one_apple=1,psm_review_list,,
apple,20150919_174151_image736,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,a005,1,1,,,reviewed_number_mask,psm_gt,ok_one_apple=3,psm_review_list,,
apple,20150919_174151_image741,-,-,excluded_duplicate,reviewed_duplicate,거의 같은 사진(대표 20150919_174151_image736 만 남김),ai,,,20150919_174151,a005,0,0,,,none,none,ok_one_apple=3,psm_review_list,,
apple,20150919_174151_image806,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,as0003,1,1,,,reviewed_number_mask,psm_gt,ok_one_apple=2,psm_review_list,,
apple,20150919_174151_image856,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174151,as0004,1,1,,,reviewed_number_mask,psm_gt,ok_one_apple=5,psm_review_list,,
apple,20150919_174730_image1,reviewed_260917,reviewed_260917,keep,,,reviewed,,,20150919_174730,a006,1,1,,20150919_174730_image11|20150919_174730_image21,reviewed_number_mask,psm_gt,ok_one_apple=1,psm_review_list,,
